"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"43","Afghanistan",2020-04-07,77,423,56,14,3,18,0,391,1.1,0.1,1,12,2
"58","Albania",2020-04-07,77,383,6,22,1,131,15,230,13.3,0.2,8,16,11
"103","Algeria",2020-04-07,77,1468,45,193,20,113,23,1162,3.3,0.1,2.6,18,19
"134","Andorra",2020-04-07,77,545,20,22,1,39,8,484,707.8,26,628.6,17,8
"170","Angola",2020-04-07,77,17,1,2,0,2,0,13,0.1,0,0,0,0
"190","Antigua and Barbuda",2020-04-07,77,19,4,1,1,0,0,18,19.4,4.1,18.4,0,0
"222","Argentina",2020-04-07,77,1628,74,56,8,338,13,1234,3.6,0.2,2.7,19,12
"239","Armenia",2020-04-07,77,853,20,8,0,87,25,758,28.8,0.7,25.6,20,0
"345","Australia",2020-04-07,77,5895,98,45,5,1080,0,4770,23.1,0.4,18.7,29,13
"366","Austria",2020-04-07,77,12639,342,243,23,4046,583,8350,140.3,3.8,92.7,31,17
"415","Azerbaijan",2020-04-07,77,717,76,8,1,44,0,665,7.1,0.7,6.6,13,0
"451","Bahrain",2020-04-07,77,811,55,5,1,458,0,348,47.6,3.2,20.4,29,0
"502","Bangladesh",2020-04-07,77,164,41,17,5,33,0,114,0.1,0,0.1,2,2
"511","Barbados",2020-04-07,77,63,3,3,1,6,0,54,22,1,18.8,0,0
"563","Belarus",2020-04-07,77,861,161,13,0,54,1,794,9.1,1.7,8.4,9,2
"612","Belgium",2020-04-07,77,22194,1380,2035,403,4157,171,16002,191.5,11.9,138.1,33,22
"638","Belize",2020-04-07,77,7,0,1,0,0,0,6,1.8,0,1.5,0,0
"653","Benin",2020-04-07,77,26,0,1,0,5,0,20,0.2,0,0.2,0,0
"682","Bhutan",2020-04-07,77,5,0,0,0,2,0,3,0.6,0,0.4,0,0
"726","Bolivia",2020-04-07,77,194,11,14,3,2,0,178,1.7,0.1,1.5,8,4
"740","Bosnia and Herzegovina",2020-04-07,77,764,90,33,4,68,21,663,23.3,2.7,20.2,17,9
"766","Botswana",2020-04-07,77,6,0,1,0,0,0,5,0.3,0,0.2,0,0
"778","Brazil",2020-04-07,77,14034,1873,686,122,127,0,13221,6.6,0.9,6.2,26,19
"819","Brunei",2020-04-07,77,135,0,1,0,85,3,49,30.9,0,11.2,15,0
"855","Bulgaria",2020-04-07,77,577,28,23,1,42,3,512,8.3,0.4,7.4,19,7
"893","Burkina Faso",2020-04-07,77,384,20,19,1,127,19,238,1.8,0.1,1.1,15,11
"910","Burma",2020-04-07,77,22,0,1,0,0,0,21,0,0,0,0,0
"922","Burundi",2020-04-07,77,3,0,0,0,0,0,3,0,0,0,0,0
"942","Cambodia",2020-04-07,77,115,1,0,0,58,5,57,0.7,0,0.3,10,0
"1016","Cameroon",2020-04-07,77,658,0,9,0,43,26,606,2.5,0,2.3,10,0
"1053","Canada",2020-04-07,77,17872,1309,375,36,3791,535,13706,47.4,3.5,36.3,28,19
"1117","Cape Verde",2020-04-07,77,7,0,1,0,1,0,5,1.3,0,0.9,0,0
"1135","Central African Republic",2020-04-07,77,8,0,0,0,0,0,8,0.2,0,0.2,0,0
"1155","Chad",2020-04-07,77,10,1,0,0,2,2,8,0.1,0,0,0,0
"1185","Chile",2020-04-07,77,5116,301,43,6,898,170,4175,26.8,1.6,21.8,23,8
"1222","Colombia",2020-04-07,77,1780,201,50,4,100,12,1630,3.5,0.4,3.2,20,10
"1237","Costa Rica",2020-04-07,77,483,16,2,0,24,6,457,9.5,0.3,9,18,0
"1273","Cote d'Ivoire",2020-04-07,77,349,26,3,0,41,0,305,1.3,0.1,1.2,12,0
"1334","Croatia",2020-04-07,77,1282,60,18,2,167,37,1097,31.2,1.5,26.7,20,4
"1340","Cuba",2020-04-07,77,396,46,11,2,27,9,358,3.5,0.4,3.2,11,1
"1381","Cyprus",2020-04-07,77,494,29,9,0,47,2,438,40.9,2.4,36.3,16,0
"1406","Czech Republic",2020-04-07,77,5017,195,88,10,172,51,4757,46.8,1.8,44.4,26,11
"1459","Democratic Republic of the Congo",2020-04-07,77,180,19,18,0,9,4,153,0.2,0,0.2,7,6
"1467","Denmark",2020-04-07,77,5266,391,203,16,1621,132,3442,90.9,6.8,59.4,29,18
"1506","Diamond Princess Cruise Ship",2020-04-07,77,712,0,11,0,619,0,82,NA,NA,NA,58,15
"1563","Djibouti",2020-04-07,77,90,0,0,0,9,0,81,9.1,0,8.2,0,0
"1600","Dominica",2020-04-07,77,15,0,0,0,1,0,14,20.8,0,19.4,0,0
"1611","Dominican Republic",2020-04-07,77,1956,128,98,12,36,3,1822,18,1.2,16.8,18,14
"1675","Ecuador",2020-04-07,77,3747,0,191,0,100,0,3456,21.2,0,19.6,21,17
"1708","Egypt",2020-04-07,77,1450,128,94,9,276,17,1080,1.4,0.1,1.1,25,18
"1739","El Salvador",2020-04-07,77,78,9,4,0,5,0,69,1.2,0.1,1.1,0,0
"1762","Equatorial Guinea",2020-04-07,77,16,0,0,0,3,0,13,1.1,0,0.9,0,0
"1792","Eritrea",2020-04-07,77,31,0,0,0,0,0,31,0.9,0,0.9,0,0
"1812","Estonia",2020-04-07,77,1149,41,21,2,69,7,1059,86.6,3.1,79.8,25,6
"1837","Eswatini",2020-04-07,77,10,0,0,0,4,0,6,0.9,0,0.5,0,0
"1863","Ethiopia",2020-04-07,77,52,8,2,0,4,0,46,0,0,0,0,0
"1886","Fiji",2020-04-07,77,15,1,0,0,0,0,15,1.7,0.1,1.7,0,0
"1925","Finland",2020-04-07,77,2308,132,34,7,300,0,1974,41.7,2.4,35.6,26,10
"1994","France",2020-04-07,77,110065,11102,10343,1417,19523,2095,80199,168.6,17,122.9,39,32
"2069","Gabon",2020-04-07,77,30,6,1,0,1,0,28,1.3,0.3,1.3,0,0
"2104","Georgia",2020-04-07,77,196,8,3,1,46,7,147,4.9,0.2,3.7,9,0
"2141","Germany",2020-04-07,77,107663,4289,2016,206,36081,7381,69566,128.5,5.1,83,38,24
"2213","Ghana",2020-04-07,77,287,73,5,0,31,0,251,0.9,0.2,0.8,13,0
"2251","Greece",2020-04-07,77,1832,77,81,2,269,0,1482,17.6,0.7,14.2,26,18
"2265","Grenada",2020-04-07,77,12,0,0,0,0,0,12,10.6,0,10.6,0,0
"2277","Guatemala",2020-04-07,77,77,7,3,0,17,2,57,0.4,0,0.3,0,0
"2300","Guinea",2020-04-07,77,144,16,0,0,5,0,139,1.1,0.1,1.1,4,0
"2325","Guinea-Bissau",2020-04-07,77,33,15,0,0,0,0,33,1.7,0.8,1.7,0,0
"2364","Guyana",2020-04-07,77,33,2,5,1,8,0,20,4.2,0.3,2.5,0,0
"2376","Haiti",2020-04-07,77,25,1,1,0,0,0,24,0.2,0,0.2,0,0
"2392","Holy See (Vatican City)",2020-04-07,77,7,0,0,0,0,0,7,700,0,700,0,0
"2418","Honduras",2020-04-07,77,305,7,22,0,6,0,277,3.1,0.1,2.8,10,7
"2470","Hong Kong",2020-04-07,77,935,21,4,0,216,0,715,12.5,0.3,9.5,37,0
"2521","Hungary",2020-04-07,77,817,73,47,9,71,4,699,8.5,0.8,7.2,18,14
"2565","Iceland",2020-04-07,77,1586,24,6,0,559,99,1021,465.1,7,299.4,27,0
"2641","India",2020-04-07,77,5311,533,150,14,421,46,4740,0.4,0,0.3,25,16
"2697","Indonesia",2020-04-07,77,2738,247,221,12,204,12,2313,1,0.1,0.8,24,21
"2722","Iran (Islamic Republic of)",2020-04-07,77,62589,2089,3872,133,27039,2803,31678,74.5,2.5,37.7,42,44
"2784","Iraq",2020-04-07,77,1122,91,65,1,373,29,684,2.8,0.2,1.7,26,25
"2805","Ireland",2020-04-07,77,5709,345,210,36,25,0,5474,115.6,7,110.9,25,13
"2847","Israel",2020-04-07,77,9248,344,65,8,770,185,8413,106.8,4,97.2,27,12
