"","state.county","date","cases","deaths","per1k","days_since_case100","days_since_death10"
"1","Alabama-Autauga",2020-04-06,12,1,0.214788165172099,0,0
"2","Alabama-Baldwin",2020-04-06,38,1,0.170224965731027,0,0
"3","Alabama-Barbour",2020-04-06,3,0,0.121526371222555,0,0
"4","Alabama-Bibb",2020-04-06,7,0,0.312583727784228,0,0
"5","Alabama-Blount",2020-04-06,10,0,0.172932590876077,0,0
"6","Alabama-Bullock",2020-04-06,2,0,0.198000198000198,0,0
"7","Alabama-Butler",2020-04-06,1,0,0.0514191690662279,0,0
"8","Alabama-Calhoun",2020-04-06,38,0,0.334492319880287,0,0
"9","Alabama-Chambers",2020-04-06,96,7,2.88687075239069,0,0
"10","Alabama-Cherokee",2020-04-06,6,0,0.229042601923958,0,0
"11","Alabama-Chilton",2020-04-06,20,0,0.450166561627802,0,0
"12","Alabama-Choctaw",2020-04-06,6,0,0.47660656128366,0,0
"13","Alabama-Clarke",2020-04-06,9,0,0.381000762001524,0,0
"14","Alabama-Clay",2020-04-06,9,0,0.680015111446921,0,0
"15","Alabama-Cleburne",2020-04-06,9,0,0.603621730382294,0,0
"16","Alabama-Coffee",2020-04-06,8,0,0.152840930801269,0,0
"17","Alabama-Colbert",2020-04-06,7,1,0.126717474339711,0,0
"18","Alabama-Conecuh",2020-04-06,2,0,0.165741277865252,0,0
"19","Alabama-Coosa",2020-04-06,8,0,0.750257901153522,0,0
"20","Alabama-Covington",2020-04-06,5,0,0.134956409079867,0,0
"21","Alabama-Crenshaw",2020-04-06,2,0,0.145222189950624,0,0
"22","Alabama-Cullman",2020-04-06,20,1,0.238754655715786,0,0
"23","Alabama-Dale",2020-04-06,4,0,0.0813471081103067,0,0
"24","Alabama-Dallas",2020-04-06,7,0,0.188192278739649,0,0
"25","Alabama-DeKalb",2020-04-06,14,0,0.195768601513012,0,0
"26","Alabama-Elmore",2020-04-06,20,0,0.246278121883043,0,0
"27","Alabama-Escambia",2020-04-06,3,0,0.0818933748259766,0,0
"28","Alabama-Etowah",2020-04-06,42,3,0.41068564947002,0,0
"29","Alabama-Fayette",2020-04-06,1,0,0.0613421666053245,0,0
"30","Alabama-Franklin",2020-04-06,7,0,0.223200051017155,0,0
"31","Alabama-Greene",2020-04-06,8,0,0.986314881025767,0,0
"32","Alabama-Hale",2020-04-06,5,0,0.341273633199099,0,0
"33","Alabama-Henry",2020-04-06,4,0,0.2324905550712,0,0
"34","Alabama-Houston",2020-04-06,24,1,0.226667422224741,0,0
"35","Alabama-Jackson",2020-04-06,17,1,0.329291442296517,0,0
"36","Alabama-Jefferson",2020-04-06,438,11,0.665074334963626,13,1
"37","Alabama-Lamar",2020-04-06,5,0,0.362187613183629,0,0
"38","Alabama-Lauderdale",2020-04-06,16,2,0.172545805519309,0,0
"39","Alabama-Lawrence",2020-04-06,8,0,0.242983841574535,0,0
"40","Alabama-Lee",2020-04-06,118,3,0.717142127845778,3,0
